argumentTypeId	argumentTypeName	sourceTaxonName	sourceTaxonId	sourceTaxonIds	interactionTypeName	interactionTypeId	targetTaxonName	targetTaxonId	targetTaxonIds	sourceBodyPartName	sourceBodyPartId	referenceDoi	referenceCitation
	support	Acanthamoeba sp. HK-R18	NCBI:txid653319	NCBI:txid653319|PPSDB:Q2265	host of		Candidatus Protochlamydia sp. R18	NCBI:txid650060	NCBI:txid650060|PPSDB:Q2271	cytosol	GO:0005829	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-R18	NCBI:txid653319	NCBI:txid653319|PPSDB:Q2265	host of		Candidatus Protochlamydia sp. R18	NCBI:txid1353977	NCBI:txid1353977|PPSDB:Q2271	cytosol	GO:0005829	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-R18	NCBI:txid653319	NCBI:txid653319|PPSDB:Q2265	host of		Candidatus Protochlamydia sp. R18	NCBI:txid650060	NCBI:txid650060|PPSDB:Q2271	cytosol	GO:0005829	10.1371/JOURNAL.PONE.0095166	Ishida, K., Sekizuka, T., Hayashida, K., Matsuo, J., Takeuchi, F., Kuroda, M., Nakamura, S., Yamazaki, T., Yoshida, M., Takahashi, K., et al. (2014). Amoebal Endosymbiont Neochlamydia Genome Sequence Illuminates the Bacterial Role in the Defense of the Host Amoebae against Legionella pneumophila. PLoS ONE 9, e95166.
	support	Acanthamoeba sp. HK-R18	NCBI:txid653319	NCBI:txid653319|PPSDB:Q2265	host of		Candidatus Protochlamydia sp. R18	NCBI:txid1353977	NCBI:txid1353977|PPSDB:Q2271	cytosol	GO:0005829	10.1371/JOURNAL.PONE.0095166	Ishida, K., Sekizuka, T., Hayashida, K., Matsuo, J., Takeuchi, F., Kuroda, M., Nakamura, S., Yamazaki, T., Yoshida, M., Takahashi, K., et al. (2014). Amoebal Endosymbiont Neochlamydia Genome Sequence Illuminates the Bacterial Role in the Defense of the Host Amoebae against Legionella pneumophila. PLoS ONE 9, e95166.
	support	Acanthamoeba sp. HK-S13	NCBI:txid653333	NCBI:txid653333|PPSDB:Q2264	host of		Neochlamydia sp. S13	NCBI:txid1353976	NCBI:txid1353976|PPSDB:Q2269	cytosol	GO:0005829	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-S13	NCBI:txid653333	NCBI:txid653333|PPSDB:Q2264	host of		Neochlamydia sp. S13	NCBI:txid650058	NCBI:txid650058|PPSDB:Q2269	cytosol	GO:0005829	10.1371/JOURNAL.PONE.0095166	Ishida, K., Sekizuka, T., Hayashida, K., Matsuo, J., Takeuchi, F., Kuroda, M., Nakamura, S., Yamazaki, T., Yoshida, M., Takahashi, K., et al. (2014). Amoebal Endosymbiont Neochlamydia Genome Sequence Illuminates the Bacterial Role in the Defense of the Host Amoebae against Legionella pneumophila. PLoS ONE 9, e95166.
	support	Acanthamoeba sp. HK-S13	NCBI:txid653333	NCBI:txid653333|PPSDB:Q2264	host of		Neochlamydia sp. S13	NCBI:txid1353976	NCBI:txid1353976|PPSDB:Q2269	cytosol	GO:0005829	10.1371/JOURNAL.PONE.0095166	Ishida, K., Sekizuka, T., Hayashida, K., Matsuo, J., Takeuchi, F., Kuroda, M., Nakamura, S., Yamazaki, T., Yoshida, M., Takahashi, K., et al. (2014). Amoebal Endosymbiont Neochlamydia Genome Sequence Illuminates the Bacterial Role in the Defense of the Host Amoebae against Legionella pneumophila. PLoS ONE 9, e95166.
	support	Acanthamoeba sp. HK-S13	NCBI:txid653333	NCBI:txid653333|PPSDB:Q2264	host of		Neochlamydia sp. S13	NCBI:txid650058	NCBI:txid650058|PPSDB:Q2269	cytosol	GO:0005829	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-S23	NCBI:txid653342	NCBI:txid653342|PPSDB:Q2266	host of		endosymbiont of Acanthamoeba sp. S23	NCBI:txid650061	NCBI:txid650061|PPSDB:Q2272	symbiont-containing vacuole	GO:0020003	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-S31	NCBI:txid653348	NCBI:txid653348|PPSDB:Q2267	host of		endosymbiont of Acanthamoeba sp. S31	NCBI:txid650062	NCBI:txid650062|PPSDB:Q2273	symbiont-containing vacuole	GO:0020003	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-S40	NCBI:txid653355	NCBI:txid653355|PPSDB:Q2268	host of		Chlamydiales endosymbiont of Acanthamoeba sp. S40	NCBI:txid651085	NCBI:txid651085|PPSDB:Q2270	cytosol	GO:0005829	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HK-S40	NCBI:txid653355	NCBI:txid653355|PPSDB:Q2268	host of		endosymbiont of Acanthamoeba sp. S40	NCBI:txid650059	NCBI:txid650059|PPSDB:Q2274	symbiont-containing vacuole	GO:0020003	10.1111/J.1758-2229.2009.00094.X	Matsuo, J., Kawaguchi, K., Nakamura, S., Hayashi, Y., Yoshida, M., Takahashi, K., Mizutani, Y., Yao, T. and Yamaguchi, H. (2010). Survival and transfer ability of phylogenetically diverse bacterial endosymbionts in environmental Acanthamoeba isolates. Environmental Microbiology Reports 2, 524–533.
	support	Acanthamoeba sp. HLA		PPSDB:Q187	host of		endosymbiont of Acanthamoeba sp. HLA	NCBI:txid281134	NCBI:txid281134|PPSDB:Q188	cytoplasm	GO:0005737	10.1046/J.1462-2920.2001.00210.X	Horn, M., Harzenetter, M. D., Linner, T., Schmid, E. N., Müller, K., Michel, R. and Wagner, M. (2001). Members of the Cytophaga–Flavobacterium–Bacteroides phylum as intracellular bacteria of acanthamoebae: proposal of ‘Candidatus Amoebophilus asiaticus.’ Environmental Microbiology 3, 440–449.
	support	Acanthamoeba sp. OEW1	NCBI:txid415243	NCBI:txid415243|PPSDB:Q195	host of		Candidatus Procabacter sp. OEW1	NCBI:txid415227	NCBI:txid415227|PPSDB:Q193	cytoplasm	GO:0005737	10.1111/J.1462-2920.2007.01268.X	Heinz, E., Kolarov, I., Kästner, C., Toenshoff, E. R., Wagner, M. and Horn, M. (2007). An Acanthamoeba sp. containing two phylogenetically different bacterial endosymbionts. Environmental Microbiology 9, 1604–1609.
	support	Acanthamoeba sp. OEW1	NCBI:txid415243	NCBI:txid415243|PPSDB:Q195	host of		Parachlamydia acanthamoebae	NCBI:txid83552	NCBI:txid83552|WD:Q7133891|PPSDB:Q194	cytoplasm	GO:0005737	10.1111/J.1462-2920.2007.01268.X	Heinz, E., Kolarov, I., Kästner, C., Toenshoff, E. R., Wagner, M. and Horn, M. (2007). An Acanthamoeba sp. containing two phylogenetically different bacterial endosymbionts. Environmental Microbiology 9, 1604–1609.
	support	Acanthamoeba sp. RM-69		PPSDB:Q186	host of		endosymbiont of Acanthamoeba sp. RM-69	NCBI:txid281136	NCBI:txid281136|PPSDB:Q185	cytoplasm	GO:0005737	10.1046/J.1462-2920.2001.00210.X	Horn, M., Harzenetter, M. D., Linner, T., Schmid, E. N., Müller, K., Michel, R. and Wagner, M. (2001). Members of the Cytophaga–Flavobacterium–Bacteroides phylum as intracellular bacteria of acanthamoebae: proposal of ‘Candidatus Amoebophilus asiaticus.’ Environmental Microbiology 3, 440–449.
	support	Acanthamoeba sp. TUME1		PPSDB:Q2310	host of		endosymbiont of Acanthamoeba sp. TUME1	NCBI:txid95306	NCBI:txid95306|PPSDB:Q2308	cytoplasm	GO:0005737	10.1128/AEM.66.6.2613-2619.2000	Fritsche, T. R., Horn, M., Wagner, M., Herwig, R. P., Schleifer, K.-H. and Gautom, R. K. (2000). Phylogenetic Diversity among Geographically Dispersed Chlamydiales Endosymbionts Recovered from Clinical and Environmental Isolates of Acanthamoeba spp. Applied and Environmental Microbiology 66, 2613–2619.
	support	Acanthamoeba sp. TUMSJ-226	NCBI:txid167751	NCBI:txid167751|PPSDB:Q174	host of		Candidatus Procabacter acanthamoebae	NCBI:txid112244	NCBI:txid112244|WD:Q63348438|PPSDB:Q170	cytosol	GO:0005829	10.1099/00207713-52-2-599	Horn, M., Fritsche, T. R., Linner, T., Gautom, R. K., Harzenetter, M. D. and Wagner, M. (2002). Obligate bacterial endosymbionts of Acanthamoeba spp. related to the beta-Proteobacteria: proposal of “Candidatus Procabacter acanthamoebae” gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 52, 599–605.
	support	Acanthamoeba sp. TUMSJ-321	NCBI:txid172893	NCBI:txid172893|PPSDB:Q183	provides metabolite to		Candidatus Amoebophilus asiaticus	NCBI:txid281120	NCBI:txid281120|WD:Q126489584|PPSDB:Q182	symbiont-containing vacuole	GO:0020003	10.1046/J.1462-2920.2001.00210.X	Horn, M., Harzenetter, M. D., Linner, T., Schmid, E. N., Müller, K., Michel, R. and Wagner, M. (2001). Members of the Cytophaga–Flavobacterium–Bacteroides phylum as intracellular bacteria of acanthamoebae: proposal of ‘Candidatus Amoebophilus asiaticus.’ Environmental Microbiology 3, 440–449.
	support	Acanthamoeba sp. TUMSJ-321	NCBI:txid172893	NCBI:txid172893|PPSDB:Q183	provides metabolite to		Candidatus Amoebophilus asiaticus	NCBI:txid281120	NCBI:txid281120|WD:Q126489584|PPSDB:Q182	symbiont-containing vacuole	GO:0020003	10.1128/JB.00195-13	Haferkamp, I., Penz, T., Geier, M., Ast, M., Mushak, T., Horn, M. and Schmitz-Esser, S. (2013). The Endosymbiont Amoebophilus asiaticus Encodes an S -Adenosylmethionine Carrier That Compensates for Its Missing Methylation Cycle. Journal of Bacteriology 195, 3183–3192.
	support	Acanthamoeba sp. TUMSJ-321	NCBI:txid172893	NCBI:txid172893|PPSDB:Q183	provides metabolite to		Candidatus Amoebophilus asiaticus	NCBI:txid281120	NCBI:txid281120|WD:Q126489584|PPSDB:Q182	symbiont-containing vacuole	GO:0020003	10.1128/JB.01379-09	Schmitz-Esser, S., Tischler, P., Arnold, R., Montanaro, J., Wagner, M., Rattei, T. and Horn, M. (2010). The Genome of the Amoeba Symbiont “CandidatusAmoebophilus asiaticus” Reveals Common Mechanisms for Host Cell Interaction among Amoeba-Associated Bacteria. Journal of Bacteriology 192, 1045–1057.
	support	Acanthamoeba sp. TUMSJ-321	NCBI:txid172893	NCBI:txid172893|PPSDB:Q183	provides metabolite to		Candidatus Amoebophilus asiaticus	NCBI:txid281120	NCBI:txid281120|WD:Q126489584|PPSDB:Q182	symbiont-containing vacuole	GO:0020003	10.1186/1471-2148-11-270	Schmitz-Esser, S., Penz, T., Spang, A. and Horn, M. (2011). A bacterial genome in transition - an exceptional enrichment of IS elements but lack of evidence for recent transposition in the symbiont Amoebophilus asiaticus. BMC Evolutionary Biology 11,.
	support	Acanthamoeba sp. TUMSJ-341	NCBI:txid167752	NCBI:txid167752|PPSDB:Q175	host of		Candidatus Procabacter acanthamoebae	NCBI:txid112244	NCBI:txid112244|WD:Q63348438|PPSDB:Q170	cytosol	GO:0005829	10.1099/00207713-52-2-599	Horn, M., Fritsche, T. R., Linner, T., Gautom, R. K., Harzenetter, M. D. and Wagner, M. (2002). Obligate bacterial endosymbionts of Acanthamoeba spp. related to the beta-Proteobacteria: proposal of “Candidatus Procabacter acanthamoebae” gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 52, 599–605.
	support	Acanthamoeba sp. UWC12	NCBI:txid167753	NCBI:txid167753|PPSDB:Q171	host of		Candidatus Procabacter acanthamoebae	NCBI:txid112244	NCBI:txid112244|WD:Q63348438|PPSDB:Q170	cytosol	GO:0005829	10.1099/00207713-52-2-599	Horn, M., Fritsche, T. R., Linner, T., Gautom, R. K., Harzenetter, M. D. and Wagner, M. (2002). Obligate bacterial endosymbionts of Acanthamoeba spp. related to the beta-Proteobacteria: proposal of “Candidatus Procabacter acanthamoebae” gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 52, 599–605.
	support	Acanthamoeba sp. UWC22		PPSDB:Q2305	host of		endosymbiont of Acanthamoeba sp. UWC22	NCBI:txid96015	NCBI:txid96015|PPSDB:Q2306	cytoplasm	GO:0005737	10.1128/AEM.66.6.2613-2619.2000	Fritsche, T. R., Horn, M., Wagner, M., Herwig, R. P., Schleifer, K.-H. and Gautom, R. K. (2000). Phylogenetic Diversity among Geographically Dispersed Chlamydiales Endosymbionts Recovered from Clinical and Environmental Isolates of Acanthamoeba spp. Applied and Environmental Microbiology 66, 2613–2619.
	support	Acanthamoeba sp. UWC36		PPSDB:Q981	host of		Candidatus Jidaibacter acanthamoeba	NCBI:txid86105	NCBI:txid86105|WD:Q126489947|PPSDB:Q980	symbiont-containing vacuole	GO:0020003	10.1111/1462-2920.12881	Schulz, F., Martijn, J., Wascher, F., Lagkouvardos, I., Kostanjšek, R., Ettema, T. J. G. and Horn, M. (2015). A <scp>R</scp>ickettsiales symbiont of amoebae with ancient features. Environmental Microbiology 18, 2326–2342.
	support	Acanthamoeba sp. UWC6	NCBI:txid167754	NCBI:txid167754|PPSDB:Q173	host of		Candidatus Procabacter acanthamoebae	NCBI:txid112244	NCBI:txid112244|WD:Q63348438|PPSDB:Q170	cytosol	GO:0005829	10.1099/00207713-52-2-599	Horn, M., Fritsche, T. R., Linner, T., Gautom, R. K., Harzenetter, M. D. and Wagner, M. (2002). Obligate bacterial endosymbionts of Acanthamoeba spp. related to the beta-Proteobacteria: proposal of “Candidatus Procabacter acanthamoebae” gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 52, 599–605.
	support	Acanthamoeba sp. UWC8		PPSDB:Q1542	host of		endosymbiont of Acanthamoeba sp. UWC8	NCBI:txid86106	NCBI:txid86106|PPSDB:Q1541			10.1093/GBE/EVX246	Wang, Z. and Wu, M. (2017). Comparative Genomic Analysis of Acanthamoeba Endosymbionts Highlights the Role of Amoebae as a “Melting Pot” Shaping the Rickettsiales Evolution. Genome Biology and Evolution 9, 3214–3224.
	support	Acanthamoeba sp. UWC8		PPSDB:Q1542	host of		endosymbiont of Acanthamoeba sp. UWC8	NCBI:txid86106	NCBI:txid86106|PPSDB:Q1541			10.1128/AEM.02432-21	Giannotti, D., Boscaro, V., Husnik, F., Vannini, C. and Keeling, P. J. (2022). The “Other” Rickettsiales : an Overview of the Family “ Candidatus Midichloriaceae.” Applied and Environmental Microbiology 88,.
	support	Acanthamoeba sp. UWC9	NCBI:txid332198	NCBI:txid332198|PPSDB:Q176	host of		Candidatus Paracaedibacter acanthamoebae	NCBI:txid91604	NCBI:txid91604|WD:Q126489968|PPSDB:Q177	cytoplasm	GO:0005737	10.1046/J.1462-2920.1999.00045.X	Horn, M., Fritsche, T. R., Gautom, R. K., Schleifer, K. and Wagner, M. (1999). Novel bacterial endosymbionts of Acanthamoeba spp. related to the Paramecium caudatum symbiont Caedibacter caryophilus. Environmental Microbiology 1, 357–367.
	support	Acanthamoeba sp. UWE1		PPSDB:Q2309	host of		endosymbiont of Acanthamoeba sp. UWE1	NCBI:txid96016	NCBI:txid96016|PPSDB:Q2307	cytoplasm	GO:0005737	10.1128/AEM.66.6.2613-2619.2000	Fritsche, T. R., Horn, M., Wagner, M., Herwig, R. P., Schleifer, K.-H. and Gautom, R. K. (2000). Phylogenetic Diversity among Geographically Dispersed Chlamydiales Endosymbionts Recovered from Clinical and Environmental Isolates of Acanthamoeba spp. Applied and Environmental Microbiology 66, 2613–2619.
	support	Acanthamoeba sp. UWE2	NCBI:txid167755	NCBI:txid167755|PPSDB:Q172	host of		Candidatus Procabacter acanthamoebae	NCBI:txid112244	NCBI:txid112244|WD:Q63348438|PPSDB:Q170	cytosol	GO:0005829	10.1099/00207713-52-2-599	Horn, M., Fritsche, T. R., Linner, T., Gautom, R. K., Harzenetter, M. D. and Wagner, M. (2002). Obligate bacterial endosymbionts of Acanthamoeba spp. related to the beta-Proteobacteria: proposal of “Candidatus Procabacter acanthamoebae” gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology 52, 599–605.
	support	Acanthamoeba sp. UWE25		PPSDB:Q192	provides metabolite to		Candidatus Protochlamydia amoebophila UWE25	NCBI:txid264201	NCBI:txid264201|PPSDB:Q2304	symbiont-containing vacuole	GO:0020003	10.1126/SCIENCE.1096330	Horn, M., Collingro, A., Schmitz-Esser, S., Beier, C. L., Purkhold, U., Fartmann, B., Brandt, P., Nyakatura, G. J., Droege, M., Frishman, D., et al. (2004). Illuminating the Evolutionary History of Chlamydiae. Science 304, 728–730.
	support	Acanthamoeba sp. UWE25		PPSDB:Q192	provides metabolite to		Candidatus Protochlamydia amoebophila UWE25	NCBI:txid264201	NCBI:txid264201|PPSDB:Q2304	symbiont-containing vacuole	GO:0020003	10.1099/IJS.0.63572-0	Collingro, A., Toenshoff, E. R., Taylor, M. W., Fritsche, T. R., Wagner, M. and Horn, M. (2005). ‘Candidatus Protochlamydia amoebophila’, an endosymbiont of Acanthamoeba spp. International Journal of Systematic and Evolutionary Microbiology 55, 1863–1866.
	support	Acanthamoeba sp. UWE25		PPSDB:Q192	provides metabolite to		Candidatus Protochlamydia amoebophila UWE25	NCBI:txid264201	NCBI:txid264201|PPSDB:Q2304	symbiont-containing vacuole	GO:0020003	10.1128/AEM.66.6.2613-2619.2000	Fritsche, T. R., Horn, M., Wagner, M., Herwig, R. P., Schleifer, K.-H. and Gautom, R. K. (2000). Phylogenetic Diversity among Geographically Dispersed Chlamydiales Endosymbionts Recovered from Clinical and Environmental Isolates of Acanthamoeba spp. Applied and Environmental Microbiology 66, 2613–2619.
	support	Acanthamoeba sp. UWE39	NCBI:txid332199	NCBI:txid332199|PPSDB:Q179	host of		Candidatus Paracaedibacter symbiosus	NCBI:txid244582	NCBI:txid244582|WD:Q126489970|PPSDB:Q178	cytoplasm	GO:0005737	10.1046/J.1462-2920.1999.00045.X	Horn, M., Fritsche, T. R., Gautom, R. K., Schleifer, K. and Wagner, M. (1999). Novel bacterial endosymbionts of Acanthamoeba spp. related to the Paramecium caudatum symbiont Caedibacter caryophilus. Environmental Microbiology 1, 357–367.
	support	Acanthamoeba sp. cf. A. quina or A. lugdunensis		PPSDB:Q2297	host of		Candidatus Protochlamydia naegleriophila	NCBI:txid389348	NCBI:txid389348|PPSDB:Q2291				Michel, R., Müller, K.-D., Hauröder, B., Zöller, L. (2000). A Coccoid Bacterial Parasite of Naegleria sp. (Schizopyrenida: Vahlkampfiidae) Inhibits Cyst Formation of its Host but not Transformation to the Flagellate Stage. Acta Protozoologica 39 : 199-207.
	support	Acanthamoeba sp. host of Berkiella spp.		PPSDB:Q196	host of		Candidatus Berkiella aquae	NCBI:txid295108	NCBI:txid295108|WD:Q126489913|PPSDB:Q197	nucleus	GO:0005634	10.1099/IJSEM.0.000750	Mehari, Y. T., Jason Hayes, B., Redding, K. S., Mariappan, P. V. G., Gunderson, J. H., Farone, A. L. and Farone, M. B. (2016). Description of ‘Candidatus Berkiella aquae’ and ‘Candidatus Berkiella cookevillensis’, two intranuclear bacteria of freshwater amoebae. International Journal of Systematic and Evolutionary Microbiology 66, 536–541.
	support	Acanthamoeba sp. host of Berkiella spp.		PPSDB:Q196	host of		Candidatus Berkiella cookevillensis	NCBI:txid437022	NCBI:txid437022|WD:Q126489914|PPSDB:Q198	nucleus	GO:0005634	10.1099/IJSEM.0.000750	Mehari, Y. T., Jason Hayes, B., Redding, K. S., Mariappan, P. V. G., Gunderson, J. H., Farone, A. L. and Farone, M. B. (2016). Description of ‘Candidatus Berkiella aquae’ and ‘Candidatus Berkiella cookevillensis’, two intranuclear bacteria of freshwater amoebae. International Journal of Systematic and Evolutionary Microbiology 66, 536–541.
	support	Acanthamoeba sp. host of Odysella thessalonicensis		PPSDB:Q190	host of		Candidatus Odyssella thessalonicensis	NCBI:txid84647	NCBI:txid84647|WD:Q126489964|PPSDB:Q189	cytosol	GO:0005829	10.1099/00207713-50-1-63	Birtles, R. J., Rowbotham, T. J., Michel, R., Pitcher, D. G., Lascola, B., Alexiou-Daniel, S. and Raoult, D. (2000). “Candidatus Odyssella thessalonicensis” gen. nov., sp. nov., an obligate intracellular parasite of Acanthamoeba species. International Journal of Systematic and Evolutionary Microbiology 50, 63–72.
	support	Acanthocystis serrata		WD:Q127587672|PPSDB:Q91	host of		unclassified prokaryote		PPSDB:Q1780	cytoplasm	GO:0005737	10.1016/S0932-4739(87)80007-X	Patterson, D. J. and Dürrschmidt, M. (1987). Selective retention of chloroplasts by algivorous heliozoa: Fortuitous chloroplast symbiosis? European Journal of Protistology 23, 51–55.
